English,Magyar
the,az
be,lenni
to,valakinek
of,valakiét
and,és
a,a
in,ban ben
that,hogy
have,van
I,én
it,azt
for,mert
not,nem
on,valamin
with,val vel
he,ő
as,mint
you,te
do,tenni
at,nál nél
this,ez
but,de
his,övé
by,által
from,tól től
they,ők
we,mi
say,mond
her,neki
she,ő
or,vagy
an,egy
will,akar
my,az én
one,egy
all,összes
would,lenne
there,ott
their,a sajátjukat
what,mit
so,így
up,fel
out,ki
if,ha
about,ról ről
who,ki
get,kap
which,melyik
go,megy
me,nekem
when,amikor
make,készít
can,tud
like,mint
time,idő
no,nem
just,éppen
him,neki
know,tudni
take,vesz
people,emberek
into,-ba
year,év
your,a ti
good,jó
some,néhány
could,tudott
them,őket
see,lát
other,egyéb
than,mint
then,azután
now,most
look,néz
only,csak
come,jön
its,a
over,felett
think,gondol
also,is
back,vissza
after,után
use,használat
two,kettő
how,hogyan
our,mi
work,munka
first,első
well,jól
way,út
even,még
new,új
want,akar
because,mivel
any,bármi
these,ezek
give,adni
day,nap
most,a legtöbb
us,minket
